#(dyne/cm2) (K)
Pressure	 Temp
1.000e+06   319.831
8.956e+05   317.964
7.183e+05   314.232
5.761e+05   310.592
4.620e+05   307.069
3.706e+05   303.658
2.972e+05   300.354
2.384e+05   297.155
1.912e+05   294.058
1.533e+05   291.059
1.230e+05   288.157
9.863e+04   284.606
7.910e+04   280.279
6.344e+04   275.175
5.088e+04   269.294
4.081e+04   262.637
3.273e+04   255.397
2.625e+04   247.770
2.105e+04   239.755
1.689e+04   231.352
1.354e+04   222.562
1.086e+04   213.820
8.712e+03   207.465
6.987e+03   202.259
5.604e+03   197.844
4.495e+03   194.175
3.605e+03   191.049
2.891e+03   188.374
2.319e+03   186.373
1.860e+03   185.050
1.492e+03   184.325
1.196e+03   184.481
9.595e+02   185.295
7.695e+02   186.177
6.172e+02   187.134
4.950e+02   188.072
3.970e+02   188.881
3.184e+02   189.753
2.554e+02   191.004
2.048e+02   192.390
1.643e+02   193.539
1.318e+02   194.812
1.057e+02   196.378
8.475e+01   197.817
6.797e+01   199.248
5.452e+01   201.059
4.372e+01   203.363
3.507e+01   206.207
2.813e+01   209.501
2.256e+01   212.793
1.809e+01   215.368
1.451e+01   216.950
1.164e+01   217.385
9.334e+00   216.658
7.486e+00   215.014
6.004e+00   212.908
4.815e+00   210.709
3.862e+00   208.657
3.098e+00   206.896
2.484e+00   205.487
1.993e+00   204.483
1.598e+00   203.948
1.282e+00   203.968
1.028e+00   204.563
8.245e-01   205.636
6.612e-01   207.034
5.303e-01   208.554
4.253e-01   210.029
3.411e-01   211.280
2.736e-01   212.001
2.194e-01   211.718
1.760e-01   209.958
1.412e-01   206.658
1.132e-01   202.274
9.080e-02   197.579
7.282e-02   193.432
5.841e-02   191.042
4.684e-02   192.113
3.757e-02   196.697
3.013e-02   202.550
2.417e-02   207.472
1.938e-02   210.732
1.555e-02   212.564
1.247e-02   213.439
1.000e-02   213.657
