#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	4         	ok              	1.0000000000e+00	3.1980000000e+02	4.7292419942e+19	2.2648415171e+19	5.1993455695e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	4         	ok              	8.3020000000e-01	3.1660000000e+02	3.9659005096e+19	1.8992760660e+19	5.1993455676e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	4         	ok              	6.8930000000e-01	3.1350000000e+02	3.3253757829e+19	1.5925277557e+19	5.1993455652e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	4         	ok              	5.7220000000e-01	3.1050000000e+02	2.7871237050e+19	1.3347579796e+19	5.1993455621e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	4         	ok              	4.7510000000e-01	3.0750000000e+02	2.3367373819e+19	1.1190672529e+19	5.1993455597e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	4         	ok              	3.9440000000e-01	3.0450000000e+02	1.9589331023e+19	9.3813618222e+18	5.1993455578e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	4         	ok              	3.2750000000e-01	3.0170000000e+02	1.6417460861e+19	7.8623481561e+18	5.1993455541e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	4         	ok              	2.7190000000e-01	2.9900000000e+02	1.3753334771e+19	6.5864939343e+18	5.1993455494e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	4         	ok              	2.2570000000e-01	2.9630000000e+02	1.1520462173e+19	5.5171676943e+18	5.1993455451e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	4         	ok              	1.8740000000e-01	2.9380000000e+02	9.6469002795e+18	4.6199159236e+18	5.1993455382e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	4         	ok              	1.5560000000e-01	2.9120000000e+02	8.0814300044e+18	3.8702097167e+18	5.1993455334e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	4         	ok              	1.2920000000e-01	2.8870000000e+02	6.7683954211e+18	3.2413953646e+18	5.1993455273e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	4         	ok              	1.0720000000e-01	2.8590000000e+02	5.6708821652e+18	2.7157945155e+18	5.1993455273e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	4         	ok              	8.9020000000e-02	2.8250000000e+02	4.7658364225e+18	2.2823666603e+18	5.1993455393e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	4         	ok              	7.3910000000e-02	2.7860000000e+02	4.0122878815e+18	1.9214910553e+18	5.1993455593e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	4         	ok              	6.1360000000e-02	2.7420000000e+02	3.3844484098e+18	1.6208177250e+18	5.1993455836e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
